interaction,order,walsh_coefficient,sobol_share
∅,0,0.31640625,
A,1,0.10546875,0.21198022681011922
I,1,0.10546875,0.21198022681011922
L,1,0.10546875,0.21198022681011922
R,1,0.10546875,0.21198022681011922
AL,2,0.03515625,0.02355335853445769
IA,2,0.03515625,0.02355335853445769
IL,2,0.03515625,0.02355335853445769
RA,2,0.03515625,0.02355335853445769
RI,2,0.03515625,0.02355335853445769
RL,2,0.03515625,0.02355335853445769
IAL,3,0.01171875,0.002617039837161966
RAL,3,0.01171875,0.002617039837161966
RIA,3,0.01171875,0.002617039837161966
RIL,3,0.01171875,0.002617039837161966
RIAL,4,0.00390625,0.0002907822041291073
