interaction,order,walsh_coefficient,sobol_share
∅,0,0.9461645468998411,
A,1,0.003159777424483319,0.010500467891977477
I,1,0.0255763116057234,0.6879731617327934
L,1,0.0052662957074721475,0.029167966366603543
R,1,0.013493640699522969,0.19149346218049487
AL,2,-0.0021263910969793326,0.004755344206924143
IA,2,-0.0031200317965023733,0.010237966578432378
IL,2,-0.0024443561208267045,0.00628383286807189
RA,2,5.96184419713805e-05,3.7381516169371533e-06
RI,2,-0.007253577106518305,0.05533502768516662
RL,2,-0.001331478537360889,0.0018645069564924822
IAL,3,0.0006558028616852132,0.00045231634564943385
RAL,3,0.0008147853736088922,0.0006982036520079719
RIA,3,-0.00017885532591413456,3.364336455243177e-05
RIL,3,0.0003378378378378552,0.0001200362019216716
RIAL,4,-0.0010135135135134893,0.0010803258172948818
