seed,channels,mask,n_channels,accuracy,fit_seconds,predict_seconds,model_bytes,train_samples,features,estimators,rule
11,∅,,0,0.8791732909379968,0.023102862999991203,0.002146562999996604,263150,169,64,24,RandomForest
11,R,R,1,0.9205087440381559,0.16406966000000978,0.012474189999991836,2001560,169,64,180,RandomForest
11,I,I,1,0.9602543720190779,0.037147609999991005,0.0022538179999997965,827998,813,64,24,RandomForest
11,A,A,1,0.8887122416534181,0.024102958000000285,0.0021926580000126705,251918,169,112,24,RandomForest
11,L,L,1,0.8918918918918919,0.01721407999998803,0.00216597800000784,527567,169,64,24,ExtraTrees
11,RI,IR,2,0.9809220985691574,0.27079896799999403,0.014868078000006335,6081346,813,64,180,RandomForest
11,RA,AR,2,0.9443561208267091,0.1736863680000056,0.012894962999993709,1818653,169,112,180,RandomForest
11,RL,LR,2,0.9379968203497615,0.12180812299999388,0.01442979299999081,3740420,169,64,180,ExtraTrees
11,IA,AI,2,0.9618441971383148,0.04731317899999965,0.002316863999993757,774130,813,112,24,RandomForest
11,IL,IL,2,0.9697933227344993,0.03059627300000045,0.002475423999996451,1654143,813,64,24,ExtraTrees
11,AL,AL,2,0.9109697933227345,0.0174658600000015,0.002239738000000102,476294,169,112,24,ExtraTrees
11,RIA,AIR,3,0.9761526232114467,0.34823055799999736,0.015132225999991533,5731024,813,112,180,RandomForest
11,RIL,ILR,3,0.985691573926868,0.20886315399999944,0.016667468999997936,12518553,813,64,180,ExtraTrees
11,RAL,ALR,3,0.9618441971383148,0.12809267699999793,0.01409684200000072,3683387,169,112,180,ExtraTrees
11,IAL,AIL,3,0.9618441971383148,0.031924627999998734,0.002611004999991451,1636872,813,112,24,ExtraTrees
11,RIAL,AILR,4,0.9888712241653418,0.23484815799999126,0.017153112999992004,12272286,813,112,180,ExtraTrees
23,∅,,0,0.8680445151033387,0.02258246400000985,0.001971804999996607,257390,169,64,24,RandomForest
23,R,R,1,0.9364069952305246,0.1604670630000129,0.01250906100000293,1948847,169,64,180,RandomForest
23,I,I,1,0.9538950715421304,0.0367809530000045,0.0022751790000086203,797176,813,64,24,RandomForest
23,A,A,1,0.904610492845787,0.02378473299999939,0.002121532999993292,247310,169,112,24,RandomForest
23,L,L,1,0.9268680445151033,0.017108280000002196,0.00226689899999144,505967,169,64,24,ExtraTrees
23,RI,IR,2,0.9682034976152624,0.2706260140000012,0.014670129000009524,6135217,813,64,180,RandomForest
23,RA,AR,2,0.9364069952305246,0.17283240600001193,0.012843771999996534,1865606,169,112,180,RandomForest
23,RL,LR,2,0.9427662957074722,0.12190503700000477,0.014067556000000536,3858509,169,64,180,ExtraTrees
23,IA,AI,2,0.9507154213036566,0.04666614799999991,0.002243953999993664,744166,813,112,24,RandomForest
23,IL,IL,2,0.9793322734499205,0.02816822299999444,0.0026440160000049673,1668543,813,64,24,ExtraTrees
23,AL,AL,2,0.9157392686804452,0.018030173999989074,0.002257834000005232,497039,169,112,24,ExtraTrees
23,RIA,AIR,3,0.9809220985691574,0.34926498299999764,0.014679047000001333,5671393,813,112,180,RandomForest
23,RIL,ILR,3,0.9777424483306836,0.20839546799999198,0.01640919099999394,12401625,813,64,180,ExtraTrees
23,RAL,ALR,3,0.9459459459459459,0.12870277599999724,0.014427212999990502,3625499,169,112,180,ExtraTrees
23,IAL,AIL,3,0.972972972972973,0.03207001999999193,0.002559354000013059,1633398,813,112,24,ExtraTrees
23,RIAL,AILR,4,0.9777424483306836,0.23383484099998952,0.01684971199999552,12074052,813,112,180,ExtraTrees
47,∅,,0,0.9030206677265501,0.02265741200000093,0.0020473799999933817,263726,169,64,24,RandomForest
47,R,R,1,0.9268680445151033,0.16242248799999004,0.01298740899999018,2001560,169,64,180,RandomForest
47,I,I,1,0.9682034976152624,0.0365358829999991,0.0022103139999956056,796879,813,64,24,RandomForest
47,A,A,1,0.9077901430842608,0.02434120099999859,0.002006769000004738,249614,169,112,24,RandomForest
47,L,L,1,0.9077901430842608,0.017807511000000886,0.0021992150000045285,502502,169,64,24,ExtraTrees
47,RI,IR,2,0.9761526232114467,0.2699095659999955,0.014929004999999052,6253336,813,64,180,RandomForest
47,RA,AR,2,0.9538950715421304,0.17369403800000782,0.012741717000011477,1860422,169,112,180,RandomForest
47,RL,LR,2,0.9538950715421304,0.12169227399999727,0.013892921000007163,3820781,169,64,180,ExtraTrees
47,IA,AI,2,0.9634340222575517,0.047247798000000785,0.002293096999991917,778450,813,112,24,RandomForest
47,IL,IL,2,0.972972972972973,0.02768577000000505,0.0024713739999953077,1642623,813,64,24,ExtraTrees
47,AL,AL,2,0.9125596184419714,0.017860108000007813,0.00233053499999869,488678,169,112,24,ExtraTrees
47,RIA,AIR,3,0.9809220985691574,0.3480170309999977,0.014790838999999778,5689249,813,112,180,RandomForest
47,RIL,ILR,3,0.9872813990461049,0.20532309600000076,0.01656491999999332,12473895,813,64,180,ExtraTrees
47,RAL,ALR,3,0.9745627980922098,0.12803861199999744,0.013880678000006696,3674747,169,112,180,ExtraTrees
47,IAL,AIL,3,0.9682034976152624,0.03185895699999719,0.0025522980000118878,1632822,813,112,24,ExtraTrees
47,RIAL,AILR,4,0.9761526232114467,0.23189565699999548,0.016966949999996928,11921367,813,112,180,ExtraTrees
89,∅,,0,0.8648648648648649,0.022973723000006885,0.002013618000006545,262871,169,64,24,RandomForest
89,R,R,1,0.918918918918919,0.16009098199999983,0.012633578000006196,1846310,169,64,180,RandomForest
89,I,I,1,0.9523052464228935,0.036611471000000506,0.0022040460000027906,822247,813,64,24,RandomForest
89,A,A,1,0.890302066772655,0.024479483000007463,0.002068828000005851,246158,169,112,24,RandomForest
89,L,L,1,0.8887122416534181,0.01716750499998909,0.002195660999987581,464774,169,64,24,ExtraTrees
89,RI,IR,2,0.972972972972973,0.27004943599999365,0.014932537999996498,5965234,813,64,180,RandomForest
89,RA,AR,2,0.9236883942766295,0.1740539859999899,0.0126848740000014,1806557,169,112,180,RandomForest
89,RL,LR,2,0.931637519872814,0.12139362199999937,0.013969613000000436,3712772,169,64,180,ExtraTrees
89,IA,AI,2,0.9650238473767886,0.04688014799999962,0.0023130049999906532,753391,813,112,24,RandomForest
89,IL,IL,2,0.9570747217806042,0.02804986099999951,0.0025241630000039095,1634559,813,64,24,ExtraTrees
89,AL,AL,2,0.8966613672496025,0.01761491699998885,0.0022123880000037843,464198,169,112,24,ExtraTrees
89,RIA,AIR,3,0.9666136724960255,0.34493836699999747,0.0147680560000083,5550994,813,112,180,RandomForest
89,RIL,ILR,3,0.9745627980922098,0.20300234300000852,0.016635644999993815,12163944,813,64,180,ExtraTrees
89,RAL,ALR,3,0.9220985691573926,0.1290102889999929,0.015168934000001855,3652859,169,112,180,ExtraTrees
89,IAL,AIL,3,0.9682034976152624,0.03206520899999532,0.0025831649999901174,1586445,813,112,24,ExtraTrees
89,RIAL,AILR,4,0.9682034976152624,0.23389230099999736,0.01738144800000896,11821971,813,112,180,ExtraTrees
131,∅,,0,0.8839427662957074,0.022303671000003078,0.0019973429999993186,258542,169,64,24,RandomForest
131,R,R,1,0.9364069952305246,0.1652508920000031,0.012816076000007115,2016248,169,64,180,RandomForest
131,I,I,1,0.9666136724960255,0.03733777800000837,0.002495580000001496,835492,813,64,24,RandomForest
131,A,A,1,0.9141494435612083,0.02441957699998909,0.0020486680000004753,254222,169,112,24,RandomForest
131,L,L,1,0.9236883942766295,0.017039322000002244,0.002158271000013201,514895,169,64,24,ExtraTrees
131,RI,IR,2,0.9745627980922098,0.26957591000000036,0.01443839600000274,6209245,813,64,180,RandomForest
131,RA,AR,2,0.9554848966613673,0.17482882800000255,0.012912741000008054,1946255,169,112,180,RandomForest
131,RL,LR,2,0.9427662957074722,0.12330978299999629,0.013884955000008858,3986417,169,64,180,ExtraTrees
131,IA,AI,2,0.9745627980922098,0.046036489000002234,0.0022537330000034217,755407,813,112,24,RandomForest
131,IL,IL,2,0.972972972972973,0.02793051400000479,0.002506585000006112,1714353,813,64,24,ExtraTrees
131,AL,AL,2,0.9173290937996821,0.018353994999998235,0.002216119000010508,509135,169,112,24,ExtraTrees
131,RIA,AIR,3,0.9841017488076311,0.3458249079999973,0.014719934999988027,5712580,813,112,180,RandomForest
131,RIL,ILR,3,0.9825119236883942,0.20591069900000036,0.01698854400000016,12546192,813,64,180,ExtraTrees
131,RAL,ALR,3,0.9602543720190779,0.12860936900000297,0.01413403300000482,3551186,169,112,180,ExtraTrees
131,IAL,AIL,3,0.9697933227344993,0.03193821599998614,0.00257780199999047,1640310,813,112,24,ExtraTrees
131,RIAL,AILR,4,0.9793322734499205,0.23465715899999395,0.01697041700001023,12366741,813,112,180,ExtraTrees
