channels,mask,n_channels,accuracy_mean,accuracy_sd,fit_seconds_mean,predict_seconds_mean,model_bytes_mean,train_samples_mean,features_mean,estimators_mean
∅,,0,0.8798092209856916,0.015149289983556859,0.032444662400000365,0.0029551850000004267,261135.8,169.0,64.0,24.0
A,A,1,0.9011128775834658,0.01115146449395881,0.03412448039999845,0.0029426602000015125,249844.4,169.0,112.0,24.0
I,I,1,0.9602543720190779,0.007198239378487628,0.04977840560000004,0.0031964094000002776,815958.4,813.0,64.0,24.0
L,L,1,0.9077901430842606,0.01756019239616416,0.024705499399999553,0.0031279973999986054,503141.0,169.0,64.0,24.0
R,R,1,0.9278219395866454,0.008382465072473142,0.23234886139999986,0.01874909960000224,1962905.0,169.0,64.0,180.0
IA,AI,2,0.9631160572337043,0.008517071692196397,0.06333675060000417,0.0032691078000027574,761108.8,813.0,112.0,24.0
AL,AL,2,0.9106518282988871,0.008214951149611347,0.02542035339999984,0.0031657340000009527,487068.8,169.0,112.0,24.0
RA,AR,2,0.9427662957074722,0.013158144163153326,0.24621920479999915,0.018830442200001584,1859498.6,169.0,112.0,180.0
IL,IL,2,0.9704292527821939,0.0082303205758631,0.03730004600000143,0.00347697119999566,1662844.2,813.0,64.0,24.0
RI,IR,2,0.9745627980922098,0.004635096895743424,0.36430895900000165,0.021136602000004244,6128875.6,813.0,64.0,180.0
RL,LR,2,0.94181240063593,0.008153183723343808,0.1785802321999995,0.022072047000000337,3823779.8,169.0,64.0,180.0
IAL,AIL,3,0.9682034976152624,0.004053274653094414,0.04160020320000228,0.003539636600001472,1625969.4,813.0,112.0,24.0
RIA,AIR,3,0.9777424483306836,0.006838096396695214,0.4662293622000021,0.022698809199999913,5671048.0,813.0,112.0,180.0
RAL,ALR,3,0.9529411764705882,0.020002754833134014,0.17958076959999403,0.020085445799998068,3637535.6,169.0,112.0,180.0
RIL,ILR,3,0.981558028616852,0.005344272277892425,0.27281584499999667,0.023348632600001907,12420841.8,813.0,64.0,180.0
RIAL,AILR,4,0.978060413354531,0.0074059234968852465,0.3011746322000022,0.023392548800003965,12091283.4,813.0,112.0,180.0
