interaction,order,coefficient,abs_coefficient
∅,0,0.8798092209856916,0.8798092209856916
A,1,0.021303656597774223,0.021303656597774223
I,1,0.08044515103338634,0.08044515103338634
L,1,0.02798092209856906,0.02798092209856906
R,1,0.048012718600953797,0.048012718600953797
AL,2,-0.018441971383147737,0.018441971383147737
IA,2,-0.018441971383147848,0.018441971383147848
IL,2,-0.01780604133545305,0.01780604133545305
RA,2,-0.006359300476947438,0.006359300476947438
RI,2,-0.03370429252782192,0.03370429252782192
RL,2,-0.013990461049284475,0.013990461049284475
IAL,3,0.013354531001589898,0.013354531001589898
RAL,3,0.014626391096979274,0.014626391096979274
RIA,3,0.006677265500794838,0.006677265500794838
RIL,3,0.01081081081081059,0.01081081081081059
RIAL,4,-0.016216216216216273,0.016216216216216273
