channels,mask,n_channels,accuracy,mean_seconds,mean_input_tokens,mean_output_tokens,mean_tool_calls
∅,,0,0.2,0.0940882782666686,21.266666666666666,5.6,0.0
A,A,1,0.13333333333333333,0.09225700373333438,23.533333333333335,5.466666666666667,0.4
I,I,1,0.5333333333333333,0.08599396686666694,26.466666666666665,5.0,0.0
L,L,1,0.2,0.09485022333333386,40.266666666666666,5.266666666666667,0.0
R,R,1,0.13333333333333333,0.1295443441333314,21.266666666666666,4.2,0.0
IA,AI,2,0.4666666666666667,0.08537341226666702,28.733333333333334,4.866666666666666,0.4
AL,AL,2,0.2,0.0933806693333338,42.53333333333333,5.133333333333334,0.4
RA,AR,2,0.13333333333333333,0.12289828073333524,23.533333333333335,4.066666666666666,0.4
IL,IL,2,0.6,0.08556007906666707,45.46666666666667,4.6,0.0
RI,IR,2,0.5333333333333333,0.12387477939999769,26.466666666666665,3.8666666666666667,0.0
RL,LR,2,0.2,0.12928738173333254,40.266666666666666,4.2,0.0
IAL,AIL,3,0.6,0.08530421966666685,47.733333333333334,4.466666666666667,0.4
RIA,AIR,3,0.5333333333333333,0.11747036333333465,28.733333333333334,3.7333333333333334,0.4
RAL,ALR,3,0.2,0.13047289346666655,42.53333333333333,4.133333333333334,0.4
RIL,ILR,3,0.6,0.12088478153333236,45.46666666666667,3.7333333333333334,0.0
RIAL,AILR,4,0.6,0.12145204113333061,47.733333333333334,3.6666666666666665,0.4
