interaction,order,coefficient,abs_coefficient
∅,0,0.2,0.2
A,1,-0.06666666666666668,0.06666666666666668
I,1,0.3333333333333333,0.3333333333333333
L,1,0.0,0.0
R,1,-0.06666666666666668,0.06666666666666668
AL,2,0.06666666666666668,0.06666666666666668
IA,2,0.0,0.0
IL,2,0.06666666666666665,0.06666666666666665
RA,2,0.06666666666666668,0.06666666666666668
RI,2,0.06666666666666665,0.06666666666666665
RL,2,0.06666666666666668,0.06666666666666668
IAL,3,-1.1102230246251565e-16,1.1102230246251565e-16
RAL,3,-0.06666666666666671,0.06666666666666671
RIA,3,0.0,0.0
RIL,3,-0.06666666666666676,0.06666666666666676
RIAL,4,0.0,0.0
